Id,VendorNo,LicenseNo,TradeName,DBA,Phone,ShippingAddress1,ShippingAddress2,ShippingCity,ShippingState,ShippingZip,BillingAddress1,BillingAddress2,BillingCity,BillingState,BillingZip,IsActive,BillingAddressSameAsShipping,TotalAcceptedYtd,LastDateAccepted
14,6033504930010001,412315,WEST COAST PRODUCTIONS,WEST COAST PRODUCTIONS,(425) 330-7773,46605 S MORTON RD,SUITE B,KENNEWICK,WA,99337-7590,,,,,,true,true,,
15,604663664,432061,"HOLY HERB, LLC","HOLY HERB, LLC",(509) 885-5616,202 GREENACRES RD,,RIVERSIDE,WA,98849-0000,,,,,,true,true,,
16,6034388400010001,412377,GLENS PLANT FARM,GLENS PLANT FARM,(425) 387-8227,17447 PETERSON RD  STE 2,,BURLINGTON,WA,98233-3546,,,,,,true,true,,
17,6032824240010002,412384,EMERALD TWIST,EMERALD TWIST,(503) 706-4544,459 BRENTWOOD RD,STE A,GOLDENDALE,WA,98620-2813,,,,,,true,true,,
18,603349128,426700,AXABRA,AXABRA,(425) 998-7057,4014 E SPRAGUE AVE,,SPOKANE,WA,98202-0000,,,,,,true,true,,
19,6033521200010001,412525,RODRIGO MANUEL OCAMPO,RODRIGO MANUEL OCAMPO,(253) 209-9473,1123 351ST ST STE B,,FEDERAL WAY,WA,98003-7009,,,,,,true,true,,
20,6031830060010002,412537,I502 CANNABIS,I502 CANNABIS,(206) 696-3063,26051 MEAN CANYON TRAIL E  #A,,CRESTON,WA,99147-0000,,,,,,true,true,,
21,604521882,430313,"PEACE VALLEY FARMS, LLC","PEACE VALLEY FARMS, LLC",(509) 670-3816,233 UNIT A ENGH RD,UNIT #A,OMAK,WA,98841-9472,,,,,,true,true,,
22,6026671740010002,412635,ASPEN HOLLOW,ASPEN HOLLOW,(208) 720-4799,18407 STATE ROUTE 20,,WINTHROP,WA,98862-0000,,,,,,true,true,,
23,6011829420010002,412660,FLYING EAGLE FARM,FLYING EAGLE FARM,,6256 SW FRENCHMAN HILLS RD,,ROYAL CITY,WA,99357-9612,,,,,,true,true,,
24,6005618590010002,412665,COVINGTON MEADOWS,COVINGTON MEADOWS,(206) 819-4526,9326 NEPPLE RD NE SUITE A,,MOSES LAKE,WA,98837-0000,,,,,,true,true,,
25,6033520610010001,412719,EVERGREEN ACRES,EVERGREEN ACRES,(509) 290-0631,1824 RD N NE UNIT 3,,MOSES LAKE,WA,98837-0000,,,,,,true,true,,
26,6033549930010001,412814,SATIVA LLC,SATIVA LLC,(509) 631-2216,3345 JAGLA RD STE A,,WENATCHEE,WA,98801-9725,,,,,,true,true,,
27,6033527930010001,412839,DLH RANCH,DLH RANCH,(253) 820-6399,2915 288TH ST E SUITE 3,,ROY,WA,98580-8559,,,,,,true,true,,
28,6033074630010002,412879,NWCS,NWCS,(425) 445-9322,9631 LATHROP INDUSTRIAL DR SW,,OLYMPIA,WA,98512-9188,,,,,,true,true,,
29,6033543260010001,412995,ORGANIC GROWN CANNABIS,ORGANIC GROWN CANNABIS,(509) 999-3310,7118 E JENNIE LN #A,,SPOKANE,WA,99212-3085,,,,,,true,true,,
30,6033525800010001,412999,ALPHA TURTLE PRODUCTIONS,ALPHA TURTLE PRODUCTIONS,,12742 ZELLER RD SE #A,,YELM,WA,98597-9207,,,,,,true,true,,
31,604588026,430626,BUDS N STUFF,BUDS N STUFF,(509) 885-4784,233 ENGH RD # B,,OMAK,WA,98841-9472,,,,,,true,true,,
32,6035081720010001,413036,CERTIFIED GREEN,CERTIFIED GREEN,,15906 E SPRAGUE,BLDG B,SPOKANE VALLEY,WA,99037-0000,,,,,,true,true,,
33,6033508040010001,413045,B.S. CUSTOM FARMS,B.S. CUSTOM FARMS,,22320 W ELM LN SUITE A,,MEDICAL LAKE,WA,99022-9663,,,,,,true,true,,
34,6033507990010001,413069,NORTHWEST SERVICES UNLIMITED,NORTHWEST SERVICES UNLIMITED,,4124 E 11TH,,TACOMA,WA,98421-0000,,,,,,true,true,,
35,6033494720010002,413093,PINNACLE NW,PINNACLE NW,(360) 352-0296,16948 LONGMIRE RD SE    STE A,,YELM,WA,98597-7974,,,,,,true,true,,
36,6033457230010001,413150,RAVEN,RAVEN,(917) 703-0621,600 RONLEE LN NW BLDG A,,OLYMPIA,WA,98502-9264,,,,,,true,true,,
37,6033516310010001,413162,GREEN BROTHERS FARMS,GREEN BROTHERS FARMS,(360) 970-7896,7715 SKOOKUMCHUCK RD SE STE D,,TENINO,WA,98589-9549,,,,,,true,true,,
38,6033541670010001,413175,WILBER INDUSTRIES,WILBER INDUSTRIES,,43112 248TH AVE SE,,ENUMCLAW,WA,98022-0000,,,,,,true,true,,
39,6033533870010001,413205,G-7 GROW,G-7 GROW,(509) 398-2142,10167 ROAD H NW,,EPHRATA,WA,98823-9632,,,,,,true,true,,
40,6034545430010001,413214,DAYTON ELTON HAMMACK,DAYTON ELTON HAMMACK,(360) 562-5016,3008 29TH AVE SW STE B,,TUMWATER,WA,98512-6101,,,,,,true,true,,
41,6033524830010001,413280,1492 PRODUCTIONS,1492 PRODUCTIONS,,2835 OCEAN AVE #A,,RAYMOND,WA,98577-4909,,,,,,true,true,,
42,6033576410010001,413450,THOMAS PAUL HICKEY,THOMAS PAUL HICKEY,(808) 386-8909,9285 S LAKESHORE RD STE A,,CHELAN,WA,98816-9352,,,,,,true,true,,
43,6033576440010001,413452,DID CROPS,DID CROPS,,7835 HWY 283,STE B,EPHRATA,WA,98823-0000,,,,,,true,true,,
44,6033563090010001,413619,RIO NINE ELEVEN,RIO NINE ELEVEN,,2875 W 1ST ST,SUITE B,WARDEN,WA,98857-0000,,,,,,true,true,,
45,6033571010010001,413656,THE HEIGHTS CONSERVATORY,THE HEIGHTS CONSERVATORY,(206) 579-0662,6994 RD 10 NE,,MOSES LAKE,WA,98837-0000,,,,,,true,true,,
46,603320230,413705,GRW AGRICULTURE,GRW AGRICULTURE,,3719 188TH ST NE STE C,,ARLINGTON,WA,98223-8708,,,,,,true,true,,
47,6033756620010001,413911,STAFFYS GARDEN,STAFFYS GARDEN,(360) 304-0811,1001 E MALANEY CREEK RD STE A,,SHELTON,WA,98584-6351,,,,,,true,true,,
48,6033573790010001,413913,BILLIFER'S BAKED BUDS,BILLIFER'S BAKED BUDS,(509) 944-6262,15026 E BREVIER RD SUITE A,,SPOKANE,WA,99217-9600,,,,,,true,true,,
49,603519314,413958,ALTERED STATE,ALTERED STATE,(509) 293-1360,3472 PULLMAN AIRPORT RD STE C,STE C,PULLMAN,WA,98112-0000,,,,,,true,true,,
50,6025288650010001,414030,WRENS NEST FARM,WRENS NEST FARM,,27613 127TH AVE NE UNIT A,,ARLINGTON,WA,98223-9342,,,,,,true,true,,
51,6034617680010001,414033,HYDROFARMER,HYDROFARMER,,1450 WHEELER RD NE,STE A,MOSES LAKE,WA,98837-9752,,,,,,true,true,,
52,6014882920010003,414116,AAA BIO-DYNAMIC,AAA BIO-DYNAMIC,,4325 S FEY RD,,PORT ANGELES,WA,98363-9464,,,,,,true,true,,
53,6033565020010001,414140,NAVARRE COULEE,NAVARRE COULEE,(509) 433-4749,6520 NAVARRE COULEE ROAD STE A,,CHELAN,WA,98816-0000,,,,,,true,true,,
54,6015444080010002,414271,THORJON RUSSELL-J1,THORJON RUSSELL-J1,(509) 710-4695,26425 RUPP RD J1,,CHENEY,WA,99004-0000,,,,,,true,true,,
55,6022862480010002,414290,RAY'S GARDEN,RAY'S GARDEN,(509) 760-1980,2255 ROAD E.5 NE STE A,,MOSES LAKE,WA,98837-9583,,,,,,true,true,,
56,6030266660010002,414898,CLOUD 9 GOOD BUDZ,CLOUD 9 GOOD BUDZ,,23051 US 195,,PULLMAN,WA,99163-8878,,,,,,true,true,,
57,6034037690010002,415678,KUSH COMFORT FARMS,KUSH COMFORT FARMS,(206) 465-6257,6805 W DENO RD,,SPOKANE,WA,99224-8919,,,,,,true,true,,
58,6034697510010001,415721,LIZZARD WEED FARMS,LIZZARD WEED FARMS,,1561 WIND RIVER HWY,,CARSON,WA,98610-0000,,,,,,true,true,,
59,603456771,427643,"CURATIVE, LLC","CURATIVE, LLC",(206) 693-2900,3230 E RIVERSIDE AVE,,SPOKANE,WA,99202-4708,,,,,,true,true,,
60,6034885040010001,415749,CHERRY RIDGE FARMS,CHERRY RIDGE FARMS,,195407 E GAME FARM RD,,KENNEWICK,WA,99337-6824,,,,,,true,true,,
61,6031284480010001,415756,CANAAN,CANAAN,,28436 NE 4TH PL,,REDMOND,WA,98053-0000,,,,,,true,true,,
62,6032615550010001,415764,CARSON UNLIMITED,CARSON UNLIMITED,,13001 ROAD 2 NE,UNIT 4,MOSES LAKE,WA,98837-0000,,,,,,true,true,,
63,6033565060010001,415859,CLOVIS POINT CANNABIS,CLOVIS POINT CANNABIS,,4639 NUMBER TWO CANYON STE A,,WENATCHEE,WA,98801-2398,,,,,,true,true,,
64,6033565620010002,415860,THC SERVICES,THC SERVICES,,5310 COUNTRY LANE RD,,LANGLEY,WA,98260-8208,,,,,,true,true,,
65,6033565650010001,415861,KITTITAS VALLEY RANCH,KITTITAS VALLEY RANCH,,6160 NO 81 RD,,ELLENSBURG,WA,98926-6689,,,,,,true,true,,
66,6033574280010001,415915,THE T.H.C. CORPERATION,THE T.H.C. CORPERATION,(509) 750-5224,1824 ROAD N NE UNIT 2,,MOSES LAKE,WA,98837-0000,,,,,,true,true,,
67,6033561880010002,415984,BOHEMIAN ENTERPRISES,BOHEMIAN ENTERPRISES,(425) 765-7130,305 S LOWER COUNTY LINE RD,SUITE B,PROSSER,WA,99350-0000,,,,,,true,true,,
68,6033594230010001,416016,EH FARMS,EH FARMS,(206) 886-7155,3143 GOLDIE RD,,OAK HARBOR,WA,98277-0000,,,,,,true,true,,
69,6033589920010001,416052,MIZPAH,MIZPAH,,2875 W 1ST ST,SUITE A,WARDEN,WA,98857-0000,,,,,,true,true,,
70,6033507290010001,416068,FAMILY PLOT,FAMILY PLOT,(509) 325-1921,26425 S RUPP RD F1,,CHENEY,WA,99004-0000,,,,,,true,true,,
71,6033543480010001,416078,PEA PATCH,PEA PATCH,,2870 OCEAN AVENUE,BLDG 6,RAYMOND,WA,98577-0000,,,,,,true,true,,
72,6033817650010001,416089,BS GROWERS,BS GROWERS,(509) 465-4080,26425 S RUPP #G 1,,CHENEY,WA,99004-0000,,,,,,true,true,,
73,6033546850010001,416111,FAR WEST ENTERPRISE,FAR WEST ENTERPRISE,(206) 673-1984,4380 KAWECKI ROAD,STE A,MALAGA,WA,98829-0000,,,,,,true,true,,
74,6033598490010001,416118,CARLA'S FARM,CARLA'S FARM,,68214 N WHAN RD,,BENTON CITY,WA,99320-6619,,,,,,true,true,,
75,6035262820010001,416131,TERPCO,TERPCO,,11503 60TH ST NE,,LAKE STEVENS,WA,98258,,,,,,true,true,,
76,6033601160010001,416170,WAGROWN,WAGROWN,,747 ATLAS RD UNIT D,,VADER,WA,98593-0000,,,,,,true,true,,
77,6034253610010001,416191,GRN,GRN,,4790 NW CASCADE AVE,,EAST WENATCHEE,WA,98802,,,,,,true,true,,
78,6033579780010001,416195,BUDDHA FARMS,BUDDHA FARMS,,5110 RIVER RD E BLDG B,,TACOMA,WA,98443-2638,,,,,,true,true,,
79,6033579090010001,416197,MERT'S MARIJUANA,MERT'S MARIJUANA,(360) 513-8519,34230 SE 20TH ST   STE A,SUITE A,WASHOUGAL,WA,98671-6690,,,,,,true,true,,
80,6033541960010001,416234,THE HEALTHY CHOICE,THE HEALTHY CHOICE,,4521 N GARY RD,STE #2,OTIS ORCHARDS,WA,99027-0000,,,,,,true,true,,
81,603480173,428970,KUSH MOUNTAIN GARDENS,KUSH MOUNTAIN GARDENS,(206) 293-1123,160 S 108TH ST,,SEATTLE,WA,98168-0000,,,,,,true,true,,
82,6028029690010001,416277,J A SWIFT ENTERPRISES,J A SWIFT ENTERPRISES,(509) 939-1908,669 N RICHARDS RD STE A,,RITZVILLE,WA,99169-0000,,,,,,true,true,,
83,6034734470010001,416279,MT GREENIER FARMS,MT GREENIER FARMS,,1920 ROAD N NE,UNIT 2,MOSES LAKE,WA,98837-0000,,,,,,true,true,,
84,6035151850010001,416286,"PURE TRAN, LLC","PURE TRAN, LLC",,236709 E LECHELT RD STE B,,KENNEWICK,WA,99337-0000,,,,,,true,true,,
85,604182196,427552,NORTHWEST INDUSTRIES,NORTHWEST INDUSTRIES,(509) 212-4736,36043 STATE ROUTE 23 E,,DAVENPORT,WA,99122-9758,,,,,,true,true,,
86,603375239,416337,NOBLE FARMS,NOBLE FARMS,,420 E 18TH ST,,TACOMA,WA,98421-1507,,,,,,true,true,,
87,6033473870010002,416372,GREENLEAF ENVIRONMENTAL,GREENLEAF ENVIRONMENTAL,,13300 SE 30TH ST,SUITE 110,BELLEVUE,WA,98005-0000,,,,,,true,true,,
88,6034369230010001,416486,NEW LEAF ENTERPRISES,NEW LEAF ENTERPRISES,(360) 489-4061,6435 ROARING CREEK RD,STE A,ENTIAT,WA,98822-0000,,,,,,true,true,,
89,6033609050010001,416531,SWEET DREAM GARDENS,SWEET DREAM GARDENS,,1306 SPRUCE ST,,LONGVIEW,WA,98632-4648,,,,,,true,true,,
90,6023726730020001,416547,RLG FARMS,RLG FARMS,,1423 COLLINS RD,STE A,SELAH,WA,98942-8919,,,,,,true,true,,
91,603361549,416571,ALMOJERA FARMS,ALMOJERA FARMS,(360) 393-2690,4593 BAY RD STE B,STE A,BLAINE,WA,98230-0000,,,,,,true,true,,
92,6034411380010001,416590,LMNOP FARMS,LMNOP FARMS,,2319 ELMWAY SUITE B,,OKANOGAN,WA,98840,,,,,,true,true,,
93,6022930480020001,416622,BEAUTIFUL PLANET,BEAUTIFUL PLANET,,34405 214TH AVE SE,,AUBURN,WA,98092-1509,,,,,,true,true,,
94,603362074,428817,HIGHER EDUCATION,HIGHER EDUCATION,(206) 679-5661,75 PIT RD STE C,,BREWSTER,WA,98812-9676,,,,,,true,true,,
95,6032550220010002,416676,FEEL BUDDER,FEEL BUDDER,,4721 HANSON RD STE A,,ELLENSBURG,WA,98926-0000,,,,,,true,true,,
96,602986777,416683,EAGLE TREE FARMS,EAGLE TREE FARMS,(360) 393-5507,6369 MT BAKER HWY STE A,,DEMING,WA,98244-9547,,,,,,true,true,,
97,604583833,430334,"TIME 2 GROW, LLC","TIME 2 GROW, LLC",(509) 670-7043,169 GREENACRES RD LOT D,,RIVERSIDE,WA,98849-9647,,,,,,true,true,,
98,604590017,430423,"SACRE FARMS, LLC","SACRE FARMS, LLC",(509) 670-7043,169 GREENACRES RD UNIT C,,RIVERSIDE,WA,98849-9647,,,,,,true,true,,
99,603464430,426127,Legacy Organics,Legacy Organics,(310) 779-6941,237004 E LEGACY PR SE,STE P,KENNEWICK,WA,98936-9317,,,,,,true,true,235085,2026-07-01T01:36:24.257000
100,6033591840010001,416759,ANANDA WASHINGTON,ANANDA WASHINGTON,(503) 522-6568,130 CHESAW RD STE B,,OROVILLE,WA,98844-0000,,,,,,true,true,,
101,603360525,430628,NORWEST PRODUCTION,NORWEST PRODUCTION,(360) 772-4302,24 THAYER SOUTH RD NUM B,STE A,OROVILLE,WA,98844-9224,,,,,,true,true,,
102,6034527030010001,416829,LANDRACE,LANDRACE,(626) 233-9606,130 CHESAW RD  STE C,,OROVILLE,WA,98844-0000,,,,,,true,true,,
103,6033506150010001,416840,THE HAPPY CROWD,THE HAPPY CROWD,(509) 998-8071,26425 S RUPP RD D1,,CHENEY,WA,99004-0000,,,,,,true,true,,
104,6033219760010001,416850,FOOTPRINT BIOSCIENCES,FOOTPRINT BIOSCIENCES,(360) 970-2344,6424 210TH AVE SW,,CENTRALIA,WA,98531-9633,,,,,,true,true,,
105,6033596130010002,416870,SUN GROWN ORGANIX,SUN GROWN ORGANIX,(425) 949-2873,1926 PINE CREEK RD  UNIT 4,,TONASKET,WA,98855-0000,,,,,,true,true,,
106,6034278620010001,416971,CANABANATCHEE,CANABANATCHEE,(509) 679-1541,17801 ENTIAT RIVER RD STE A,,ENTIAT,WA,98822-9702,,,,,,true,true,,
107,604409100,413199,"YI FAN FENG SHUN, LLC","YI FAN FENG SHUN, LLC",(206) 708-3012,145 GREENACRES RD UNIT 4,STE 4,RIVERSIDE,WA,98849-9647,,,,,,true,true,,
108,6033590120010001,416984,RANDOLPH AND MORTIMER,RANDOLPH AND MORTIMER,,2432 NORTH HIGHWAY 395,UNIT 100,CHEWELAH,WA,99109-0000,,,,,,true,true,,
109,6033510590010001,416989,AMAZINGARDENS,AMAZINGARDENS,,23930 OSO LOOP ROAD,STE B,ARLINGTON,WA,98223-5399,,,,,,true,true,,
110,6034760640010001,416999,P.N.W. GROWERS,P.N.W. GROWERS,,1891 EAST LEE RD,,WASHTUCNA,WA,99371-0000,,,,,,true,true,,
111,603498541,427061,BOTANICAL MADNESS,BOTANICAL MADNESS,(808) 442-2545,2002 ROZA DR STE D,STE C,ZILLAH,WA,98953-9361,,,,,,true,true,,
112,6033631150010001,417055,BARE NAKED BUD,BARE NAKED BUD,(360) 977-0533,1041 INDUSTRIAL WAY,,LONGVIEW,WA,98632-1030,,,,,,true,true,,
113,6033604070010001,417083,NUGS,NUGS,,234805 E STRAIGHT BANK RD,STE D,KENNEWICK,WA,99337-0000,,,,,,true,true,,
114,6033561370010001,417156,GREENFINGERS 509,GREENFINGERS 509,(509) 314-9897,834 BADGER GULCH,SUITE B,GOLDENDALE,WA,98620-2912,,,,,,true,true,,
115,603345803,432285,"AURICAG, INC.","AURICAG, INC.",(206) 226-1391,6996 ROAD 10 NE STE C,,MOSES LAKE,WA,98837-0000,,,,,,true,true,,
116,6017018150010001,417180,BUDD BAY GARDENS,BUDD BAY GARDENS,,5241 CUSHMAN RD NE,SUITE A,OLYMPIA,WA,98506-1813,,,,,,true,true,,
117,6029086410010002,417206,SEATTLE MEDIA WORKS,SEATTLE MEDIA WORKS,,18791 CEDARDALE RD STE A,,MOUNT VERNON,WA,98274,,,,,,true,true,,
118,6034258960010001,417221,LAURITZEN MANUFACTURING,LAURITZEN MANUFACTURING,,31612 160TH ST SE,STE B,SULTAN,WA,98294-9711,,,,,,true,true,,
119,6034627320010001,417252,MIND BENDER ENTERPRISES,MIND BENDER ENTERPRISES,(360) 770-3732,5937 CHUCKANUT DR,,BOW,WA,98232-9295,,,,,,true,true,,
120,6005335660020001,417262,D&M GREEN HOUSE 420,D&M GREEN HOUSE 420,(360) 298-2853,20 CANDLEWOOD LN,,EASTSOUND,WA,98245-9461,,,,,,true,true,,
121,6005785880010001,417263,CALVIN'S BEST,CALVIN'S BEST,(509) 762-9530,4896 MCCHONIHE RD NE SITE A,,MOSES LAKE,WA,98837-9338,,,,,,true,true,,
122,604185201,417310,WICKED GREEN GARDENS,WICKED GREEN GARDENS,(206) 601-8506,26268 12 TREES LN NW STE 150,,POULSBO,WA,98370-0000,,,,,,true,true,,
123,6034416240010001,417311,MAYFLOWER PARTNERS,MAYFLOWER PARTNERS,,311 E EXPORT RD,,SHELTON,WA,98584,,,,,,true,true,,
124,6033571320010001,417379,CORDUS,CORDUS,(425) 422-4414,56005 N THOMAS RD STE A,,BENTON CITY,WA,99320-7632,,,,,,true,true,,
125,6033590820010001,417384,ISLAND GREEN GROWERS,ISLAND GREEN GROWERS,,4525 DEER LAKE RD,STE A,CLINTON,WA,98236-0000,,,,,,true,true,,
126,6033060360010002,417394,CELSS MICRO FARMS,CELSS MICRO FARMS,(509) 460-7723,68705 N 132 PR NE,,BENTON CITY,WA,99320-8761,,,,,,true,true,,
127,6035023370010001,417401,HIGHLAND NURSERY,HIGHLAND NURSERY,,234805 E STRAIGHTBANK RD STE C,,KENNEWICK,WA,99336-0000,,,,,,true,true,,
128,6035044620010001,417497,ODO,ODO,,8502 NE 2ND AVE,,KIONA,WA,,,,,,,true,true,,
129,6032815800010003,418065,A LIST,A LIST,,12001 AURORA AVE N STE A,,SEATTLE,WA,98113-8249,,,,,,true,true,,
130,6033593090010002,419271,CONSCIOUS CANNABIS,CONSCIOUS CANNABIS,,53311 DEVILS GAP RD E,,FORD,WA,99013-0000,,,,,,true,true,,
131,6033562840010004,419454,COLUMBIA GROWN,COLUMBIA GROWN,,99 GREENACRES RD,LOT C,RIVERSIDE,WA,98849-9625,,,,,,true,true,,
132,6033519020010002,419494,CANNABIS NORTHWEST,CANNABIS NORTHWEST,,2405 50TH AVE SW,,TUMWATER,WA,98512-8007,,,,,,true,true,,
133,6033453330010006,419690,CLARITY FARMS,CLARITY FARMS,(253) 252-2383,1199 W CUNNINGHAM RD,SUITE A1,OTHELLO,WA,99344-0000,,,,,,true,true,1446100,2026-06-30T05:09:14.650000
134,604466274,428617,DEWEY BOTANICALS LLC,DEWEY BOTANICALS LLC,(775) 790-3463,2001 COUNTRY CLUB RD,,PULLMAN,WA,99163-8868,,,,,,true,true,,
135,603360630,420130,"FREE RAIN FARMS, INC.","FREE RAIN FARMS, INC.",,6995 KICKERVILLE RD STE B,,FERNDALE,WA,98248-5402,,,,,,true,true,,
136,6032705020010002,420275,GOOD TO GROW,GOOD TO GROW,,1150 COUNTY LINE RD,,GRAYLAND,WA,98547-9604,,,,,,true,true,,
137,6033569360010002,421434,NW NECTAR,NW NECTAR,,11610 W WHITE RD,,SPOKANE,WA,99224-9747,,,,,,true,true,,
138,6033585450010003,412024,WALDEN CANNABIS,WALDEN CANNABIS,,2916 STATE ST,STE C,EVERETT,WA,98201-3842,,,,,,true,true,995536,2026-06-04T02:19:57.793000
139,6031327110010006,412056,Over The Top,Over The Top,(206) 557-4700,640 S SPOKANE ST,SUITE A,SEATTLE,WA,98134-2225,,,,,,true,true,,
140,604289642,412150,Unicorn Brands LLC,Unicorn Brands LLC,,85 PETERS ST BLDG A,,RAYMOND,WA,98577-0000,,,,,,true,true,,
141,604289645,412151,ATLAS GLOBAL TECHNOLOGIES LLC,ATLAS GLOBAL TECHNOLOGIES LLC,,198 PETERS ST,,RAYMOND,WA,98577-0000,,,,,,true,true,,
142,604120970,426754,"WASHINGTON GOLD, LLC","WASHINGTON GOLD, LLC",(425) 736-5063,31903 HWY 97,STE A,TONASKET,WA,98855-9205,,,,,,true,true,,
143,6033345530010001,412219,BAKECATION,BAKECATION,(360) 375-6042,470 W 2ND ST STE 106,,SUMAS,WA,98295-9680,,,,,,true,true,,
144,6032707930010002,412229,EVERGREEN HERBAL,EVERGREEN HERBAL,(206) 596-8600,923 S BAYVIEW ST STE 200,,SEATTLE,WA,98134-2023,,,,,,true,true,,
145,6033152490010001,412236,SILICA PHOENIX,SILICA PHOENIX,(360) 951-4021,9730 LATHROP INDUSTRIAL DR SW,UNIT E1,OLYMPIA,WA,98512-1064,,,,,,true,true,,
146,6033453920010001,412274,FORBIDDEN FARMS,FORBIDDEN FARMS,(253) 820-3904,1920 PORT OF TACOMA RD,,TACOMA,WA,98421-3707,,,,,,true,true,,
147,6031327110010007,412340,SOLSTICE CON,SOLSTICE CON,(206) 612-8559,640 S SPOKANE ST,SUITE E,SEATTLE,WA,98134-2225,,,,,,true,true,,
148,6033132380010001,412347,XTRACTED LABS,XTRACTED LABS,(206) 639-5388,3423 4TH AVE S,,SEATTLE,WA,98134-1904,,,,,,true,true,849689,2026-07-02T04:21:50.003000
149,6033491280010001,412438,AXABRA,AXABRA,(425) 998-7057,3230 E RIVERSIDE AVE STE 110,,SPOKANE,WA,99202-0000,,,,,,true,true,,
150,6033518450010001,412520,WASHINGTON GREEN,WASHINGTON GREEN,,28611 139TH AVE NE STE C,,ARLINGTON,WA,98223-9302,,,,,,true,true,,
151,603351879,429717,CANNA CLOUDS,CANNA CLOUDS,(425) 870-4355,2916 STATE ST STE 202,,EVERETT,WA,98201-3994,,,,,,true,true,,
152,6033510890010001,412581,HESPERIDES,HESPERIDES,,21108 ORVILLE RD STE A,,ORTING,WA,98360-9764,,,,,,true,true,,
153,6033472250010001,412600,LUCHINI SUPERCRITICAL,LUCHINI SUPERCRITICAL,(617) 875-6637,4326 LYONS HILL RD   STE B,,SPRINGDALE,WA,99173-9728,,,,,,true,true,,
154,6033221780010001,412617,CRESCENDO CHOCOLATE,CRESCENDO CHOCOLATE,(360) 599-8325,4055 HAMMER DR,,BELLINGHAM,WA,98226-7665,,,,,,true,true,,
155,604490198,429382,NCW LLC,NCW LLC,(509) 322-6065,29374 US HWY 97 UNIT D,UNIT D,OMAK,WA,98841-0000,,,,,,true,true,,
156,6031046500010003,412630,KOUCHLOCK PRODUCTIONS,KOUCHLOCK PRODUCTIONS,,805 E HOUSTON AVE STE B,,SPOKANE,WA,99208-5502,,,,,,true,true,,
157,6028105730010001,412634,MR WHOLESALE AND LEASING,MR WHOLESALE AND LEASING,(509) 710-3240,202 N CRESTLINE ST #1,,SPOKANE,WA,99202-0000,,,,,,true,true,,
158,6033380710010001,412679,SOURFACE,SOURFACE,(509) 329-8573,5805 E SHARP AVE STE C4,,SPOKANE VALLEY,WA,99212-0955,,,,,,true,true,,
159,6029509160010001,412713,TPCB VENTURES,TPCB VENTURES,,2700 4TH AVE S,STE B2,SEATTLE,WA,98134,,,,,,true,true,,
