Strain Name,Strain Type,Vendor Description (from PRODUCTS),Trusted Description (fill gaps),Description Source / Citation,Dominant Terpenes,Common Effects,Flavor / Aroma,Lineage / Genetics,Notes
4RILLA BOMBER,,,,,,,,,
501st Og,,,,,,,,,
9# Hammer,Indica,"A potent indica butane hash oil from 9# Hammer, extracted in a sealed closed-loop system by licensed techs and carefully purged to lab-tested purity. Smooth and high-potency, earthy, sweet undertones, leading into settle-in, melt-into-the-couch ease.",,,,,,,
91 Octane,Hybrid,"91 Octane is a hybrid flower with notes of chemical, berry, and cheese, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
92 octane,Hybrid,"A hybrid pre-roll of 92 Octane supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Boosted for extra strength and more intense effects — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
99 Sunsets,Hybrid,"Ready-to-spark hybrid infused pre-roll of 99 Sunsets, enhanced with concentrate for smoother, slower burning and a serious step up in strength. More potent than flower alone, with more intense effects — a balanced, sweet-earthy profile, delivering a versatile, anytime balance. Pace yourself.",,,,,,,
9lb Hammer,Indica,"A indica infused joint built on 9lb Hammer and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Built for a stronger, longer session and more intense effects — with notes of lime, earthy, and berry, with a slow, mellow wind-down vibe. A little goes a long way.",,,,,,,
9th inning Rally,Hybrid,"This infused hybrid pre-roll wraps 9th inning Rally flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Boosted for extra strength and more intense effects — a balanced, sweet-earthy profile, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
A La Mode,Hybrid,"A La Mode is a hybrid pre-roll with notes of blueberry, strawberry, and diesel, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Ac/Dc,Hybrid,"A potent, full-spectrum Rick Simpson Oil (RSO) that captures the whole plant's cannabinoids and terpenes in a thick, concentrated extract. Versatile — take it on its own, under the tongue, or add it to food. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 9:1 ratio. Extremely potent, so start with a tiny amount (about a quarter grain of rice) and go slow.",,,,,,,
Acai Berry Gelato,Hybrid,"Hand-pressed hybrid rosin from Acai Berry Gelato — solventless, full-spectrum, and prized by flavor chasers for a taste that stays honest to the living bud. Expect with notes of tar, berry, and tree fruit, a rich terpene punch, and a versatile, anytime balance.",,,,,,,
Acapulco Ape,,,,,,,,,
Acapulco Gold,Sativa,"Effortless sativa disposable vape of Acapulco Gold — fully charged out of the box, dialed in for smooth flavor and total convenience. Grab-and-go convenience, with notes of honey, chestnut, and coffee, delivering an active, daytime spark.",,,,,,,
Acid Dough,Sativa,"Acid Dough is a sativa pre-roll with notes of pineapple, strawberry, and earthy, with a sweet, citrusy flavor with a zesty kick. Expect uplifting, energizing head buzz.",,,,,,,
Afghan Diesel,Hybrid,"Afghan Diesel is a hybrid flower with notes of pear, diesel, and pineapple, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Afghan skunk,Indica,"A indica pre-roll of Afghan skunk supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Boosted for extra strength and more intense effects — with notes of skunk, woody, and menthol, with a slow, mellow wind-down vibe. A little goes a long way.",,,,,,,
After Chem,,,,,,,,,
Agave Lime 2:1:1 THC:CBG:CBC,,,,,,,,,
Alien Dawg,Hybrid,"A hybrid hashish made from Alien Dawg, dry-sifted resin pressed into a smooth, potent block that honors a craft thousands of years in the making. Old-world craft, modern flavor, with notes of woody, chemical, and earthy, delivering a smooth, well-rounded vibe.",,,,,,,
Alien OG x Mega Glue,Hybrid,"A hybrid pre-roll of Alien OG x Mega Glue supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. More potent than flower alone, with more intense effects — with notes of pine, earthy, and lemon, delivering a smooth, well-rounded vibe. Pace yourself.",,,,,,,
Alien Orange Gum,Hybrid,"This hybrid cartridge loads Alien Orange Gum into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Smooth, discreet, and flavorful — with notes of diesel and orange, with a versatile, anytime balance.",,,,,,,
Alien OZ,Hybrid,"A chemical-free hybrid rosin, where Alien OZ is pressed between heated plates until pure, golden oil weeps out and cools into a soft, creamy concentrate. Expect a balanced, sweet-earthy profile, a rich terpene punch, and a versatile, anytime balance.",,,,,,,
Alien Tangie,,,,,,,,,
Aliens on Moonshine,Indica,"A potent, full-spectrum Rick Simpson Oil (RSO) that captures the whole plant's cannabinoids and terpenes in a thick, concentrated extract. Versatile — take it on its own, under the tongue, or add it to food. Extremely potent, so start with a tiny amount (about a quarter grain of rice) and go slow.",,,,,,,
Alley Cat,Hybrid,"Alley Cat is a hybrid flower with notes of ammonia, chemical, and skunk, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Alley Oop,Hybrid,"A chemical-free hybrid rosin, where Alley Oop is pressed between heated plates until pure, golden oil weeps out and cools into a soft, creamy concentrate. Golden, terpy, and gentle on the lungs — a balanced, sweet-earthy profile, with a versatile, anytime balance.",,,,,,,
Aloha Love,Hybrid,"Aloha Love is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Alpine Guava,Hybrid,"Hand-pressed hybrid rosin from Alpine Guava — solventless, full-spectrum, and prized by flavor chasers for a taste that stays honest to the living bud. Golden, terpy, and gentle on the lungs — a sweet tropical guava flavor, with a versatile, anytime balance.",,,,,,,
Amarelo,Hybrid,"A convenient hybrid cartridge carrying Amarelo's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Flavor on the go, with notes of blueberry and apple, leading into an even, best-of-both-worlds feel.",,,,,,,
Amarena de Limón,Hybrid,"Amarena de Limón is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Amaretto Sour,Hybrid,"Amaretto Sour is a hybrid pre-roll with notes of flowery, diesel, and chemical, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Ambrosia,Hybrid,"A hybrid infused joint built on Ambrosia and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Built for a stronger, longer session and more intense effects — with notes of lavender, sage, and tropical, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
Ambrosia x LA Kush Cake,Hybrid,"This infused hybrid pre-roll wraps Ambrosia x LA Kush Cake flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Built for a stronger, longer session and more intense effects — with notes of lavender, sage, and tropical, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Amnesia Cookies,Hybrid,"A chemical-free hybrid rosin, where Amnesia Cookies is pressed between heated plates until pure, golden oil weeps out and cools into a soft, creamy concentrate. Expect a sweet, doughy, earthy dessert aroma with a euphoric, relaxing feel, a rich terpene punch, and an even, best-of-both-worlds feel.",,,,,,,
Amnesia Haze,Sativa,"This sativa cartridge loads Amnesia Haze into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Flavor on the go, with notes of citrus, lemon, and lime, leading into an upbeat, talkative energy.",,,,,,,
Angela,,,,,,,,,
Animal Chillz x Collins AVE,,,,,,,,,
Animal Cocktail,Hybrid,"A hybrid vape cartridge filled with Animal Cocktail oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Smooth, discreet, and flavorful — with notes of chemical, berry, and pungent, with a balanced head-and-body experience.",,,,,,,
Animal Cookies,Hybrid,"A convenient hybrid cartridge carrying Animal Cookies's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Flavor on the go, with notes of nutty, earthy, and sweet, leading into an even, best-of-both-worlds feel.",,,,,,,
Animal Face,Hybrid,"A hybrid pre-roll of Animal Face supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. More potent than flower alone, with more intense effects — with notes of menthol, mint, and diesel, delivering a smooth, well-rounded vibe. Pace yourself.",,,,,,,
Animal Mints,Hybrid,"Animal Mints is a hybrid flower with notes of menthol, mint, and apple, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Animal Rain,Hybrid,"This infused hybrid pre-roll wraps Animal Rain flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Built for a stronger, longer session and more intense effects — a balanced, sweet-earthy profile, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Animal Tsunami,Hybrid,"A hybrid vape cartridge filled with Animal Tsunami oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Flavor on the go, with notes of diesel, tropical, and sweet, leading into an even, best-of-both-worlds feel.",,,,,,,
Animals XJ-13,Hybrid,"Animals XJ-13 is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Anytime 2000,Hybrid,"A versatile tincture for customers who prefer smoke-free dosing, with precise drops and a smooth, steady cannabis experience. Great for daytime enjoyment. Discreet, precise, and easy to dose.",,,,,,,
Apple Fritter,Hybrid,"An all-in-one hybrid disposable vape preloaded with Apple Fritter oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Zero setup, all flavor — with notes of apple, butter, and cheese, with an even, best-of-both-worlds feel.",,,,,,,
Apple Guava,Hybrid,"Hand-pressed hybrid rosin from Apple Guava — solventless, full-spectrum, and prized by flavor chasers for a taste that stays honest to the living bud. A premium solventless experience, a crisp, sweet apple flavor, delivering an even, best-of-both-worlds feel.",,,,,,,
Apple Jackz,Hybrid,"A hybrid infused joint built on Apple Jackz and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — a crisp, sweet apple flavor, delivering an even, best-of-both-worlds feel. Pace yourself.",,,,,,,
Apple Mochi,Hybrid,"Cannabis caviar made from Apple Mochi: dense hybrid flower hand-dipped in oil, then dusted in a glittering coat of kief for a seriously strong, special-occasion smoke. Decadent and potent, a crisp, sweet apple flavor, leading into a smooth, well-rounded vibe.",,,,,,,
Apple Rain,Hybrid,"A hybrid infused joint built on Apple Rain and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — a crisp, sweet apple flavor, delivering a smooth, well-rounded vibe. Pace yourself.",,,,,,,
Apple Slapz,Hybrid,"Apple Slapz is a hybrid flower with a crisp, sweet apple flavor and balanced, well-rounded effects.",,,,,,,
Apple Sundae,Sativa,"A sativa vape cartridge filled with Apple Sundae oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Smooth, discreet, and flavorful — with notes of pear, apple, and butter, with an upbeat, talkative energy.",,,,,,,
Apple Tarts,Hybrid,"An all-in-one hybrid disposable vape preloaded with Apple Tarts oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Simple, smooth, portable, a crisp, sweet apple flavor, leading into a balanced head-and-body experience.",,,,,,,
Apple Tartz,Hybrid,"Apple Tartz is a hybrid flower with notes of apple, ammonia, and butter, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Apples & Bananas,Hybrid,"Solventless hybrid rosin pressed from Apples & Bananas using nothing but heat and pressure, squeezing fragrant oil straight from the flower — no chemicals, ever. A premium solventless experience, with notes of apple, pear, and tree fruit, delivering a smooth, well-rounded vibe.",,,,,,,
Apples N Bananas,,,,,,,,,
Arjan Haze,Sativa,"A sativa infused joint built on Arjan Haze and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Built for a stronger, longer session and more intense effects — a sweet, spicy-citrus aroma with a bright, energetic, cerebral feel, with a clear, creative buzz. A little goes a long way.",,,,,,,
Arm Candy,,,,,,,,,
Assorted,Hybrid,"A gourmet-style chef-inspired treat with imaginative flavor, balanced sweetness, and a clean infused finish. It blends THC for a classic euphoric lift, CBD to keep things calm and balanced, and CBG to support daytime focus and clarity in a 1:1:1 ratio. A craveable infused treat that feels right at home next to the best sweets on the shelf.",,,,,,,
Assorted 1:1 Indica Drops,,,,,,,,,
Assorted Chocolates,,,,,,,,,
Assorted Indica Chews 100mg,,,,,,,,,
Astro Hi-Chew,Hybrid,"Astro Hi-Chew is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
ATF,Hybrid,"This hybrid disposable carries ATF in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Grab-and-go convenience, with notes of menthol, sage, and pine, delivering an even, best-of-both-worlds feel.",,,,,,,
Atomic Apple,Hybrid,"A chef-inspired crisp, sweet apple cannabis drink made for sipping cold, with bright flavor, a clean finish, and a smooth infused lift. It features THC for a classic euphoric lift. A refreshing hybrid option for customers who prefer their cannabis in a drinkable format.",,,,,,,
Baby Diesel,Hybrid,"A purist's hybrid hash rosin: Baby Diesel refined first into full-melt hash, then squeezed solventless under heat and pressure for the cleanest, most flavorful dab going. Maximum flavor, zero solvents, a pungent diesel and fuel flavor, and a smooth, well-rounded vibe.",,,,,,,
Baby Shark,Hybrid,"A hybrid vape cartridge filled with Baby Shark oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Convenient and clean, a balanced, sweet-earthy profile, delivering a versatile, anytime balance.",,,,,,,
Baby Yo Duh,Hybrid,"Baby Yo Duh is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Baby Yo-Duh x Galactic Runtz,Hybrid,"A hybrid infused joint built on Baby Yo-Duh x Galactic Runtz and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Built for a stronger, longer session and more intense effects — with notes of skunk, sweet, and diesel, with a balanced head-and-body experience. A little goes a long way.",,,,,,,
Babysita,Hybrid,"Babysita is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Bacio Gelato,Hybrid,"This hybrid disposable carries Bacio Gelato in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Simple, smooth, portable, with notes of vanilla, berry, and mint, leading into a versatile, anytime balance.",,,,,,,
Bad Apple,Hybrid,"Craft hybrid rosin made the clean way: Bad Apple squeezed under low-temp pressure to preserve every fragile terpene, full-spectrum and true to the plant. Expect with notes of apple, vanilla, and diesel, a rich terpene punch, and an even, best-of-both-worlds feel.",,,,,,,
Bad Santa,Hybrid,"Bad Santa is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Bahama Mama,Hybrid,"Bahama Mama is a hybrid flower with notes of tropical, tree fruit, and flowery, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Baja Blast,Hybrid,"Whipped hybrid badder from Baja Blast with the look and feel of cake batter — gold, creamy, and scoop-ready, agitated to coax out maximum aroma. Whipped to perfection, a balanced, sweet-earthy profile, delivering a smooth, well-rounded vibe.",,,,,,,
Baja Blaze,Hybrid,"A gourmet-style chef-inspired treat with imaginative flavor, balanced sweetness, and a clean infused finish. Enjoy slowly and let the infused finish settle in at its own pace.",,,,,,,
Baja Blazed,Hybrid,"Ready-to-spark hybrid infused pre-roll of Baja Blazed, enhanced with concentrate for smoother, slower burning and a serious step up in strength. More potent than flower alone, with more intense effects — a tart, crisp lime flavor, delivering a versatile, anytime balance. Pace yourself.",,,,,,,
Baklava,Hybrid,"Baklava is a hybrid flower with notes of tar, vanilla, and butter, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Balance 1:1,,,,,,,,,
Banana Bread,Hybrid,"Effortless hybrid disposable vape of Banana Bread — fully charged out of the box, dialed in for smooth flavor and total convenience. Grab-and-go convenience, with notes of butter, nutty, and vanilla, delivering a smooth, well-rounded vibe.",,,,,,,
Banana Cake,Hybrid,"A hybrid infused joint built on Banana Cake and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Built for a stronger, longer session and more intense effects — with notes of honey, butter, and diesel, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Banana Candy,Indica,"A grab-and-go indica disposable of Banana Candy, the simplest way to vape: flavorful, portable, and zero setup required. Simple, smooth, portable, with notes of tree fruit, tropical, and sweet, leading into a slow, mellow wind-down vibe.",,,,,,,
Banana Clips,Hybrid,"This hybrid badder turns Banana Clips into glossy, gooey gold: whipped to a soft, spreadable consistency packed with flavor and easy to work with. Smooth, blond, and aromatic, a creamy, sweet banana flavor, leading into a smooth, well-rounded vibe.",,,,,,,
Banana Cream Pie,Hybrid,"Ready-to-spark hybrid infused pre-roll of Banana Cream Pie, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Boosted for extra strength and more intense effects — a creamy, sweet banana flavor, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Banana Og,Hybrid,"Banana Og is a hybrid flower with notes of tree fruit, tropical, and sweet, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Banana Pop Rocks,Indica,"Classic indica BHO crafted from Banana Pop Rocks — hydrocarbon-extracted, fully purged, and dense with cannabinoids for an efficient, hard-hitting dab. Efficient and hard-hitting, a creamy, sweet banana flavor, delivering settle-in, melt-into-the-couch ease.",,,,,,,
Banana Punch,Hybrid,"Banana Punch is a hybrid flower with notes of tropical, honey, and tree fruit, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
banana runtz,Hybrid,"Ready-to-spark hybrid infused pre-roll of Banana Runtz, enhanced with concentrate for smoother, slower burning and a serious step up in strength. More potent than flower alone, with more intense effects — with notes of tree fruit, tropical, and apricot, delivering a smooth, well-rounded vibe. Pace yourself.",,,,,,,
Banana Trip,Hybrid,"An all-in-one hybrid disposable vape preloaded with Banana Trip oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Simple, smooth, portable, a creamy, sweet banana flavor, leading into a versatile, anytime balance.",,,,,,,
BananaConda,Hybrid,"BananaConda is a hybrid flower with notes of mint, diesel, and skunk, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Bananas & Cream,Hybrid,"A hybrid infused joint built on Bananas & Cream and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — a creamy, sweet banana flavor, delivering a balanced head-and-body experience. Pace yourself.",,,,,,,
Banh Mi,,,,,,,,,
Barf Breath,Hybrid,"A hybrid blunt of Barf Breath taken up a level with concentrate — flower plus potent extract rolled together for a bold, slow-burning, full-flavored smoke. Boosted for extra strength and more intense effects — a balanced, sweet-earthy profile, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
Bear Hug,,,,,,,,,
Beauty Sleep,Hybrid,"A polished cannabis tincture made for control and convenience — place drops under the tongue or stir into a favorite drink. It blends THC for a classic euphoric lift, CBD to keep things calm and balanced, and CBN to help you relax and ease into rest in a 4:2:1 ratio. Perfect for winding down at the end of the day. Discreet, precise, and easy to dose.",,,,,,,
Beetlejuice,Hybrid,"This infused hybrid pre-roll wraps Beetlejuice flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Built for a stronger, longer session and more intense effects — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Bella & Max,Hybrid,"A versatile tincture for customers who prefer smoke-free dosing, with precise drops and a smooth, steady cannabis experience. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 30:1 ratio. Discreet, precise, and easy to dose.",,,,,,,
berry,Indica,"Artisan sweet, ripe berry chews with a slow-melting bite, vibrant fruit character, and a smooth infused finish that keeps the flavor front and center. Enjoy slowly and let the infused finish settle in at its own pace.",,,,,,,
Berry Blast,Hybrid,"An artisan sweet, ripe berry edible made to feel special — rich flavor, soft sweetness, and a cannabis finish that stays smooth and approachable. It blends THC for a classic euphoric lift, CBD to keep things calm and balanced, and CBN to help you relax and ease into rest in a 1:1:1 ratio. A craveable infused treat that feels right at home next to the best sweets on the shelf.",,,,,,,
Berry Blender,Hybrid,"Berry Blender is a hybrid pre-roll with a sweet, ripe berry flavor and balanced, well-rounded effects.",,,,,,,
Berry Bliss,Hybrid,"This infused hybrid pre-roll wraps Berry Bliss flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. More potent than flower alone, with more intense effects — with notes of berry, blueberry, and diesel, delivering a balanced head-and-body experience. Pace yourself.",,,,,,,
Berry Blue Dream,Hybrid,"Effortless hybrid disposable vape of Berry Blue Dream — fully charged out of the box, dialed in for smooth flavor and total convenience. Grab-and-go convenience, a sweet, ripe berry flavor, delivering a balanced head-and-body experience.",,,,,,,
Berry Bubbles,Hybrid,"This hybrid BHO concentrate distills Berry Bubbles down to its potent essence through precision closed-loop extraction and a clean solvent purge. Smooth and high-potency, a sweet, ripe berry flavor, leading into an even, best-of-both-worlds feel.",,,,,,,
Berry Gelato,Hybrid,"A hybrid infused joint built on Berry Gelato and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Boosted for extra strength and more intense effects — with notes of berry, lavender, and blueberry, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
Berry Lemonade,Hybrid,"A bold sweet-tart lemonade infused shot — compact, flavorful, and mixed like a tiny craft cocktail for a quick edible-style experience. It features THC for a classic euphoric lift. Bright, easy-drinking, and infused for a smooth edible-style experience.",,,,,,,
Berry Lemonade Soda,Hybrid,"A crisp sweet-tart lemonade drink that tastes like it was mixed at a tiny craft soda bar — flavorful, refreshing, and infused for a smooth edible-style ride. Sip slowly and let the hybrid infusion settle in at its own pace.",,,,,,,
Berry Pomegranate,Hybrid,"Lush sweet, ripe berry gummies made with a chef’s touch — vivid fruit flavor, a melt-into-chew texture, and a cannabis infusion blended cleanly into every bite. It blends CBN to help you relax and ease into rest, CBD to keep things calm and balanced, and THC for a classic euphoric lift in a 20:10:1 ratio. Rich on flavor and easy to enjoy — start with a comfortable serving and let the edible do the rest.",,,,,,,
Berry Streusel,Hybrid,"Berry Streusel is a hybrid pre-roll with a sweet, ripe berry flavor and balanced, well-rounded effects.",,,,,,,
Berry Syrup,Hybrid,"Aromatic hybrid live resin pressed from fresh-frozen Berry Syrup, the sweet spot of flavor, potency, and that 'just-harvested' terpene rush. Full-spectrum and bursting with terps, a sweet, ripe berry flavor, delivering a smooth, well-rounded vibe.",,,,,,,
Berrylicious,,,,,,,,,
Big Baby,Hybrid,"Big Baby is a hybrid flower with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Big Harbor Kush,Hybrid,"This infused hybrid pre-roll wraps Big Harbor Kush flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. More potent than flower alone, with more intense effects — an earthy, piney, hashy aroma and a classic, relaxing feel, delivering a balanced head-and-body experience. Pace yourself.",,,,,,,
Big Perm,Hybrid,"Big Perm is a hybrid pre-roll with notes of berry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Bigfoot,,,,,,,,,
Birthday Cake,Hybrid,"A grab-and-go hybrid disposable of Birthday Cake, the simplest way to vape: flavorful, portable, and zero setup required. Simple, smooth, portable, with notes of vanilla, sweet, and butter, leading into a smooth, well-rounded vibe.",,,,,,,
Biscotti,Hybrid,"Ready-to-spark hybrid infused pre-roll of Biscotti, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Built for a stronger, longer session and more intense effects — with notes of butter, honey, and vanilla, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Biscotti Chunk,Hybrid,"Biscotti Chunk is a hybrid pre-roll with a sweet, nutty, cookie aroma with a relaxing, mellow feel.",,,,,,,
Black & Blueberry,Indica,"A convenient indica cartridge carrying Black & Blueberry's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Smooth, discreet, and flavorful — a sweet, ripe blackberry flavor, with a slow, mellow wind-down vibe.",,,,,,,
Black and Blueberry,,,,,,,,,
Black Cherry,Hybrid,"Black Cherry is a hybrid flower with a sweet, ripe cherry flavor and balanced, well-rounded effects.",,,,,,,
black cherry betty,,,,,,,,,
Black Cherry CBN,Hybrid,"A lively sweet, ripe cherry beverage with farmers-market fruit energy, balanced sweetness, and cannabis blended in for a relaxed, drinkable experience. It features CBN to help you relax and ease into rest. Perfect for winding down at the end of the day.",,,,,,,
Black Cherry Fizz,Hybrid,"A hybrid vape cartridge filled with Black Cherry Fizz oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Flavor on the go, a sweet, ripe cherry flavor, leading into a balanced head-and-body experience.",,,,,,,
Black Cherry Gelato,Hybrid,"Black Cherry Gelato is a hybrid flower with notes of apricot, pear, and berry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Black Cherry Soda,,,,,,,,,
Black Domina,Indica,"An all-in-one indica disposable vape preloaded with Black Domina oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Grab-and-go convenience, with notes of pepper, spicy/herbal, and woody, delivering a heavy, relaxed body calm.",,,,,,,
Black Garlic,Hybrid,"A chemical-free hybrid rosin, where Black Garlic is pressed between heated plates until pure, golden oil weeps out and cools into a soft, creamy concentrate. Expect with notes of chemical, diesel, and blue cheese, a rich terpene punch, and an even, best-of-both-worlds feel.",,,,,,,
Black Koffee,Hybrid,"Concentrate-enhanced hybrid flower of Black Koffee, layered with extract for bigger aroma and a serious step up in potency. Built for a stronger, longer session and more intense effects — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Black Magic Woman,,,,,,,,,
Black Mamba,Indica,"Black Mamba is an indica flower with notes of plum, grape, and violet, with an earthy, sweet flavor and a smooth finish. Expect relaxing, mellow body comfort.",,,,,,,
Black Maple,Hybrid,"Black Maple is a hybrid flower with notes of tar, diesel, and earthy, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
